GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.application.bookstore.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
bookstore,com.application.bookstore.config,SecurityConfig,0,92,0,0,0,14,0,5,0,5
bookstore,com.application.bookstore.exception,ValidationException,0,26,0,0,0,9,0,4,0,4
bookstore,com.application.bookstore.exception,AttributeAlreadyExistsException,0,15,0,0,0,4,0,2,0,2
bookstore,com.application.bookstore.exception,GlobalExceptionHandler,0,69,0,0,0,19,0,4,0,4
bookstore,com.application.bookstore.controller,CustomerController,0,54,0,2,0,15,0,7,0,6
bookstore,com.application.bookstore.controller,BookController,47,27,1,1,11,8,6,3,5,3
bookstore,com.application.bookstore.controller,AuthorController,38,27,1,1,9,8,5,3,4,3
bookstore,com.application.bookstore.controller,AppUserController,0,54,0,2,0,15,0,7,0,6
bookstore,com.application.bookstore.controller,PurchasedBookController,13,21,0,0,3,8,2,3,2,3
bookstore,com.application.bookstore.dto,CustomerRequestDto,0,38,0,0,0,16,0,11,0,11
bookstore,com.application.bookstore.dto,AuthorWithBookRequestDto,17,0,0,0,7,0,5,0,5,0
bookstore,com.application.bookstore.dto,BookRequestDto,0,31,0,0,0,13,0,9,0,9
bookstore,com.application.bookstore.dto,CustomerDto,0,52,0,0,0,22,0,15,0,15
bookstore,com.application.bookstore.dto,PurchasedBookRequestDto,17,0,0,0,7,0,5,0,5,0
bookstore,com.application.bookstore.dto,BookDto,0,45,0,0,0,19,0,13,0,13
bookstore,com.application.bookstore.dto,AppUserRequestDto,0,24,0,0,0,10,0,7,0,7
bookstore,com.application.bookstore.dto,BookWithNewAuthorDto,17,0,0,0,7,0,5,0,5,0
bookstore,com.application.bookstore.dto,PurchasedBookDto,0,31,0,0,0,13,0,9,0,9
bookstore,com.application.bookstore.dto,AuthorRequestDto,0,31,0,0,0,13,0,9,0,9
bookstore,com.application.bookstore.dto,AuthorDto,0,45,0,0,0,19,0,13,0,13
bookstore,com.application.bookstore.dto,AppUserDto,0,36,0,0,0,15,0,8,0,8
bookstore,com.application.bookstore,BookstoreApplication,5,3,0,0,2,1,1,1,1,1
bookstore,com.application.bookstore.model,Customer,24,45,0,0,4,19,3,13,3,13
bookstore,com.application.bookstore.model,PurchasedBook,13,31,0,0,1,13,1,9,1,9
bookstore,com.application.bookstore.model,Author,19,46,0,0,3,18,2,12,2,12
bookstore,com.application.bookstore.model,AppUser,22,31,0,0,6,13,2,9,2,9
bookstore,com.application.bookstore.model,Book,19,46,0,0,3,18,2,12,2,12
bookstore,com.application.bookstore.service,PurchasedBookService,92,149,4,2,17,35,8,7,5,7
bookstore,com.application.bookstore.service,CustomerService,182,150,21,9,37,39,20,8,5,8
bookstore,com.application.bookstore.service,AuthorService,262,149,20,8,53,41,21,9,7,9
bookstore,com.application.bookstore.service,AppUserService,172,146,12,10,36,36,13,12,6,8
bookstore,com.application.bookstore.service,BookService,363,144,19,7,72,39,23,8,10,8
